"89","TRX062024.0031","BR243","227500","0000-00-00 00:00:00"
"90","TRX062024.0031","BR244","22000","0000-00-00 00:00:00"
"91","TRX062024.0032","BR011","68000","0000-00-00 00:00:00"
"92","TRX062024.0032","BR173","6000","0000-00-00 00:00:00"
"93","TRX062024.0032","BR170","6000","0000-00-00 00:00:00"
"94","TRX062024.0032","BR022","36000","0000-00-00 00:00:00"
"95","TRX062024.0032","BR164","6000","0000-00-00 00:00:00"
"96","TRX062024.0032","BR083","9000","0000-00-00 00:00:00"
"97","TRX062024.0032","BR174","6000","0000-00-00 00:00:00"
"98","TRX062024.0032","BR245","105000","0000-00-00 00:00:00"
"99","TRX062024.0033","BR153","3000","0000-00-00 00:00:00"
"100","TRX062024.0033","BR240","27000","0000-00-00 00:00:00"
"101","TRX062024.0034","BR015","28000","0000-00-00 00:00:00"
"102","TRX062024.0034","BR167","6000","0000-00-00 00:00:00"
"103","TRX062024.0035","BR226","14000","0000-00-00 00:00:00"
"104","TRX062024.0036","BR043","48000","0000-00-00 00:00:00"
"105","TRX062024.0037","BR044","53000","0000-00-00 00:00:00"
"106","TRX062024.0037","BR220","51000","0000-00-00 00:00:00"
"107","TRX062024.0037","BR218","17000","0000-00-00 00:00:00"
"108","TRX062024.0037","BR177","25000","0000-00-00 00:00:00"
"109","TRX062024.0038","BR006","85000","0000-00-00 00:00:00"
"110","TRX062024.0038","BR224","17000","0000-00-00 00:00:00"
"111","TRX062024.0038","BR168","3000","0000-00-00 00:00:00"
"112","TRX062024.0038","BR220","34000","0000-00-00 00:00:00"
"113","TRX062024.0038","BR236","35000","0000-00-00 00:00:00"
"114","TRX062024.0039","BR152","3000","0000-00-00 00:00:00"
"115","TRX062024.0040","BR159","7500","0000-00-00 00:00:00"
"116","TRX062024.0041","BR011","34000","0000-00-00 00:00:00"
"117","TRX062024.0042","BR026","30000","0000-00-00 00:00:00"
"118","TRX062024.0043","BR247","58000","0000-00-00 00:00:00"
"119","TRX062024.0043","BR248","21000","0000-00-00 00:00:00"
"120","TRX062024.0044","BR249","28000","0000-00-00 00:00:00"
"121","TRX062024.0045","BR019","26000","0000-00-00 00:00:00"
"122","TRX062024.0046","BR011","33000","0000-00-00 00:00:00"
"123","TRX062024.0046","BR018","42000","0000-00-00 00:00:00"
"124","TRX062024.0046","BR021","100000","0000-00-00 00:00:00"
"125","TRX062024.0046","BR169","18000","0000-00-00 00:00:00"
"126","TRX062024.0046","BR173","3000","0000-00-00 00:00:00"
"127","TRX062024.0047","BR015","26000","0000-00-00 00:00:00"
"128","TRX062024.0048","BR159","28000","0000-00-00 00:00:00"
"129","TRX062024.0048","BR153","3000","0000-00-00 00:00:00"
"130","TRX062024.0048","BR139","2000","0000-00-00 00:00:00"
"131","TRX062024.0048","BR175","3000","0000-00-00 00:00:00"
"132","TRX062024.0048","BR190","1500","0000-00-00 00:00:00"
"133","TRX062024.0048","BR152","3000","0000-00-00 00:00:00"
"134","TRX062024.0048","BR101","1000","0000-00-00 00:00:00"
"135","TRX062024.0048","BR127","4000","0000-00-00 00:00:00"
"136","TRX062024.0048","BR086","2000","0000-00-00 00:00:00"
"137","TRX062024.0048","BR102","2000","0000-00-00 00:00:00"
"138","TRX062024.0048","BR250","60000","0000-00-00 00:00:00"
"139","TRX062024.0048","BR170","3000","0000-00-00 00:00:00"
"140","TRX062024.0048","BR022","34000","0000-00-00 00:00:00"
"141","TRX062024.0048","BR009","102000","0000-00-00 00:00:00"
"142","TRX062024.0048","BR017","54000","0000-00-00 00:00:00"
"143","TRX062024.0048","BR168","9000","0000-00-00 00:00:00"
"144","TRX062024.0048","BR174","6000","0000-00-00 00:00:00"
"145","TRX062024.0048","BR218","30000","0000-00-00 00:00:00"
"146","TRX062024.0048","BR025","39000","0000-00-00 00:00:00"
"147","TRX062024.0048","BR024","15000","0000-00-00 00:00:00"
"148","TRX062024.0048","BR108","2000","0000-00-00 00:00:00"
"149","TRX062024.0048","BR094","2000","0000-00-00 00:00:00"
"150","TRX062024.0048","BR084","4000","0000-00-00 00:00:00"
"151","TRX062024.0048","BR162","10000","0000-00-00 00:00:00"
"152","TRX062024.0048","BR117","5000","0000-00-00 00:00:00"
"153","TRX062024.0048","BR155","7000","0000-00-00 00:00:00"
"154","TRX062024.0048","BR251","80000","0000-00-00 00:00:00"
